skill_id,path,category,source,owner_agent,reviewer_agent,description_status,trigger_keywords,trigger_boundary,allowed_actions,blocked_actions,validator,evidence,stop_condition,quality_status,next_action
cabina-agent-md-refactor,D:/.agents/skills/cabina-agent-md-refactor/SKILL.md,quality_review,d_drive_repo_local,codex.workspace_guardian,rey.authority_canonist,PASS,AGENTS.md|Codex UI|instruction precedence,local instruction pruning and drift review only,prune_repetition|normalize_prompt|map_precedence,weaken_root_canon|nested_repo_absorption|microsoft_live|openai_api_live|production|secrets,D:/.agents/codex/tools/local_validate_agents_instruction_hierarchy.ps1|D:/.agents/codex/tools/local_validate_skill_metadata.ps1,instruction_hierarchy_result|skill_metadata_result,skill_metadata_missing_or_ambiguous,PASS,review after any AGENTS or UI prompt change
cabina-commit-work,D:/.agents/skills/cabina-commit-work/SKILL.md,ci_cd,d_drive_repo_local,rey.repo_cartographer,court.seshat_evidence,PASS,GitHub|branch|draft PR|approved merge,durable repo versioning under cabina governance,inspect_repo|branch|explicit_stage|commit|push|draft_pr|merge_when_approved_prechecked,git_add_dot|merge_without_approved_precheck|force_push|microsoft_live|openai_api_live|production|secrets,D:/.agents/codex/tools/local_validate_operational_chain.ps1|D:/.agents/codex/tools/local_validate_skill_metadata.ps1,branch_commit_push_pr_merge_evidence|skill_metadata_result,skill_metadata_missing_or_ambiguous,PASS,review after any GitHub lifecycle rule change
cabina-github-actions-templates,D:/.agents/skills/cabina-github-actions-templates/SKILL.md,ci_cd,d_drive_repo_local,codex.workspace_guardian,court.thot_schema,PASS,GitHub Actions|workflow permissions|repo automation,repo scoped read only GitHub automation templates,review_workflow|align_templates|check_permissions,secrets|write_permissions|deployment|microsoft_live|openai_api_live|production,D:/.agents/codex/tools/local_validate_github_automation_preflight.ps1|D:/.agents/codex/tools/local_validate_skill_metadata.ps1,github_automation_preflight_result|skill_metadata_result,skill_metadata_missing_or_ambiguous,PASS,review after any workflow template change
cabina-naming-analyzer,D:/.agents/skills/cabina-naming-analyzer/SKILL.md,quality_review,d_drive_repo_local,court.thot_schema,rey.governance_registrar,PASS,canonical naming|alias mapping|stop conditions,local id vocabulary and cross matrix synchronization,compare_ids|register_alias|sync_matrices|validate_stop_condition,orphan_history|unregistered_stop_condition|moving_clones|microsoft_live|openai_api_live|production|secrets,D:/.agents/codex/tools/local_validate_agent_layer.ps1|D:/.agents/codex/tools/local_validate_skill_metadata.ps1,agent_layer_result|skill_metadata_result,skill_metadata_missing_or_ambiguous,PASS,review after any id vocabulary change
cabina-session-handoff,D:/.agents/skills/cabina-session-handoff/SKILL.md,runbook,d_drive_repo_local,court.seshat_evidence,rey.control_plane_orchestrator,PASS,handoff|readback|validator evidence,compact verified session PR lane handoff,record_branch_pr_commit|record_validators|name_risks|prepare_next_lanes,unverified_completion|live_surface_implied|secret_materialization|secrets|microsoft_live|openai_api_live|production,D:/.agents/codex/tools/local_validate_agent_layer.ps1|D:/.agents/codex/tools/local_validate_operational_chain.ps1|D:/.agents/codex/tools/local_validate_skill_metadata.ps1,handoff_readback|skill_metadata_result,skill_metadata_missing_or_ambiguous,PASS,review after any handoff shape change
d-drive-agent-layer-enrichment,D:/.agents/skills/d-drive-agent-layer-enrichment/SKILL.md,governance,d_drive_repo_local,rey.governance_registrar,court.thot_schema,PASS,D-drive|matrices|recipes|skills|tools|validators,local D-drive agent layer enrichment only,enrich_matrix|align_recipe|register_skill|prepare_validator,microsoft_live|openai_api_live|production|secrets|moving_clones,D:/.agents/codex/tools/local_validate_agent_layer.ps1|D:/.agents/codex/tools/local_validate_skill_metadata.ps1,agent_layer_result|skill_metadata_result,skill_metadata_missing_or_ambiguous,PASS,review after D-drive layer enrichment
governed-readback-closeout,D:/.agents/skills/governed-readback-closeout/SKILL.md,runbook,d_drive_repo_local,court.seshat_evidence,rey.authority_canonist,PASS,readback|closeout|validator|evidence,local evidence and readback closeout only,write_readback|record_validator|name_risk|declare_next_lanes,unverified_completion|microsoft_live|openai_api_live|production|secrets,D:/.agents/codex/tools/local_validate_operational_chain.ps1|D:/.agents/codex/tools/local_validate_skill_metadata.ps1,readback_result|skill_metadata_result,skill_metadata_missing_or_ambiguous,PASS,review after governed readback changes
matrix-recipe-skill-sync,D:/.agents/skills/matrix-recipe-skill-sync/SKILL.md,governance,d_drive_repo_local,court.thot_schema,rey.governance_registrar,PASS,matrix|recipe|skill|tool|sync,local capability index synchronization only,sync_matrix|sync_recipe|sync_skill|sync_tool|validate_index,microsoft_live|openai_api_live|production|secrets|invented_tool,D:/.agents/codex/tools/local_validate_agent_layer.ps1|D:/.agents/codex/tools/local_validate_skill_metadata.ps1,agent_layer_result|skill_metadata_result,skill_metadata_missing_or_ambiguous,PASS,review after index synchronization
parallel-order-governance,D:/.agents/skills/parallel-order-governance/SKILL.md,runbook,d_drive_repo_local,rey.control_plane_orchestrator,rey.frontier_guardian,PASS,parallel|subagent|order|lock key|scope,local parallel lane and order preparation only,define_lane|assign_owner|set_lock|prepare_order|validate_scope,lane_scope_overlap|microsoft_live|openai_api_live|production|secrets,D:/.agents/codex/tools/local_validate_parallel_order_governance.ps1|D:/.agents/codex/tools/local_validate_skill_metadata.ps1,parallel_order_result|skill_metadata_result,parallel_lane_without_validator,PASS,review after parallel lane governance changes
repo-agent-tool-governance,D:/.agents/skills/repo-agent-tool-governance/SKILL.md,governance,d_drive_repo_local,rey.authority_canonist,court.thot_schema,PASS,repo|agent|tool|surface|governance,local repo agent tool governance assignment only,assign_owner|map_surface|declare_tool_boundary|select_recipe|record_evidence,microsoft_live|openai_api_live|production|secrets|permission_change,D:/.agents/codex/tools/local_validate_agent_layer.ps1|D:/.agents/codex/tools/local_validate_skill_metadata.ps1,agent_layer_result|skill_metadata_result,tool_without_surface_boundary,PASS,review after repo agent tool governance changes
